lot_id,release_time_utc,split,product_generation,stack_layer_count,capacity_gb,scenario,material_batch_id,wafers_in_cohort,sampled_dies_per_wafer
L0231,2025-06-07T00:00:00Z,test,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT039,25,32
L0232,2025-06-07T12:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT039,25,32
L0233,2025-06-08T00:00:00Z,test,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT039,25,32
L0234,2025-06-08T12:00:00Z,test,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT039,25,32
L0235,2025-06-09T00:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT040,25,32
L0236,2025-06-09T12:00:00Z,test,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT040,25,32
L0237,2025-06-10T00:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT040,25,32
L0238,2025-06-10T12:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT040,25,32
L0239,2025-06-11T00:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT040,25,32
L0240,2025-06-11T12:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT040,25,32
