die_id,stack_id,disposition
D0007382,S000710,assembled
D0007383,S000765,assembled
D0007384,S000701,assembled
D0007385,S000764,assembled
D0007386,S000705,assembled
D0007387,S000774,assembled
D0007388,S000738,assembled
D0007389,S000767,assembled
D0007390,S000778,assembled
D0007391,S000740,assembled
D0007392,S000779,assembled
D0007393,S000703,assembled
D0007394,S000704,assembled
D0007395,S000782,assembled
D0007396,,screen_rejected
D0007397,S000718,assembled
D0007398,S000772,assembled
D0007399,S000758,assembled
D0007400,S000714,assembled
D0007401,S000724,assembled
D0007402,S000713,assembled
D0007403,S000709,assembled
D0007404,S000794,assembled
D0007405,S000711,assembled
D0007406,S000771,assembled
D0007407,S000777,assembled
D0007408,S000757,assembled
D0007409,S000722,assembled
D0007410,S000761,assembled
D0007411,S000791,assembled
D0007412,S000769,assembled
D0007413,S000771,assembled
D0007414,S000794,assembled
D0007415,S000773,assembled
D0007416,S000795,assembled
D0007417,S000746,assembled
D0007418,S000769,assembled
D0007419,S000717,assembled
D0007420,S000782,assembled
D0007421,S000730,assembled
D0007422,S000791,assembled
D0007423,S000726,assembled
D0007424,S000779,assembled
D0007425,S000706,assembled
D0007426,S000751,assembled
D0007427,S000704,assembled
D0007428,S000712,assembled
D0007429,S000751,assembled
D0007430,S000721,assembled
D0007431,S000714,assembled
D0007432,S000753,assembled
D0007433,S000724,assembled
D0007434,S000702,assembled
D0007435,S000747,assembled
D0007436,S000722,assembled
D0007437,S000727,assembled
D0007438,S000703,assembled
D0007439,S000782,assembled
D0007440,S000712,assembled
D0007441,S000774,assembled
D0007442,S000755,assembled
D0007443,S000725,assembled
D0007444,S000720,assembled
D0007445,S000743,assembled
D0007446,S000711,assembled
D0007447,S000755,assembled
D0007448,S000743,assembled
D0007449,S000765,assembled
D0007450,S000753,assembled
D0007451,S000715,assembled
D0007452,S000760,assembled
D0007453,S000767,assembled
D0007454,S000717,assembled
D0007455,S000719,assembled
D0007456,S000770,assembled
D0007457,S000719,assembled
D0007458,S000788,assembled
D0007459,S000708,assembled
D0007460,S000713,assembled
D0007461,S000716,assembled
D0007462,S000787,assembled
D0007463,,screen_rejected
D0007464,S000731,assembled
D0007465,S000747,assembled
D0007466,S000736,assembled
D0007467,S000729,assembled
D0007468,S000759,assembled
D0007469,S000767,assembled
D0007470,S000794,assembled
D0007471,S000713,assembled
D0007472,S000719,assembled
D0007473,S000750,assembled
D0007474,S000704,assembled
D0007475,S000783,assembled
D0007476,S000796,assembled
D0007477,S000705,assembled
D0007478,S000727,assembled
D0007479,S000750,assembled
D0007480,S000749,assembled
D0007481,S000721,assembled
D0007482,S000718,assembled
D0007483,S000709,assembled
D0007484,S000789,assembled
D0007485,S000733,assembled
D0007486,S000796,assembled
D0007487,S000758,assembled
D0007488,S000750,assembled
D0007489,S000734,assembled
D0007490,S000744,assembled
D0007491,S000783,assembled
D0007492,S000777,assembled
D0007493,S000789,assembled
D0007494,S000749,assembled
D0007495,S000725,assembled
D0007496,S000771,assembled
D0007497,S000776,assembled
D0007498,S000759,assembled
D0007499,S000790,assembled
D0007500,S000701,assembled
D0007501,S000784,assembled
D0007502,S000746,assembled
D0007503,S000788,assembled
D0007504,S000713,assembled
D0007505,S000773,assembled
D0007506,S000736,assembled
D0007507,S000707,assembled
D0007508,S000733,assembled
D0007509,S000779,assembled
D0007510,S000765,assembled
D0007511,S000709,assembled
D0007512,S000737,assembled
D0007513,S000714,assembled
D0007514,S000796,assembled
D0007515,S000754,assembled
D0007516,S000775,assembled
D0007517,S000717,assembled
D0007518,S000772,assembled
D0007519,S000772,assembled
D0007520,S000717,assembled
D0007521,S000703,assembled
D0007522,S000796,assembled
D0007523,S000735,assembled
D0007524,S000764,assembled
D0007525,S000732,assembled
D0007526,S000762,assembled
D0007527,S000725,assembled
D0007528,S000706,assembled
D0007529,S000724,assembled
D0007530,S000704,assembled
D0007531,S000780,assembled
D0007532,S000714,assembled
D0007533,S000745,assembled
D0007534,S000760,assembled
D0007535,S000744,assembled
D0007536,S000703,assembled
D0007537,S000733,assembled
D0007538,S000763,assembled
D0007539,S000744,assembled
D0007540,S000790,assembled
D0007541,S000745,assembled
D0007542,S000748,assembled
D0007543,S000784,assembled
D0007544,S000732,assembled
D0007545,S000793,assembled
D0007546,S000719,assembled
D0007547,S000758,assembled
D0007548,S000782,assembled
D0007549,S000776,assembled
D0007550,S000718,assembled
D0007551,S000786,assembled
D0007552,S000744,assembled
D0007553,S000795,assembled
D0007554,S000748,assembled
D0007555,S000740,assembled
D0007556,S000763,assembled
D0007557,S000702,assembled
D0007558,S000789,assembled
D0007559,S000706,assembled
D0007560,S000791,assembled
D0007561,S000747,assembled
D0007562,S000715,assembled
D0007563,S000742,assembled
D0007564,S000760,assembled
D0007565,S000726,assembled
D0007566,S000706,assembled
D0007567,S000729,assembled
D0007568,S000728,assembled
D0007569,S000746,assembled
D0007570,,screen_rejected
D0007571,S000752,assembled
D0007572,S000721,assembled
D0007573,S000757,assembled
D0007574,S000726,assembled
D0007575,S000723,assembled
D0007576,S000706,assembled
D0007577,S000748,assembled
D0007578,S000713,assembled
D0007579,S000710,assembled
D0007580,S000756,assembled
D0007581,S000764,assembled
D0007582,S000712,assembled
D0007583,S000713,assembled
D0007584,S000700,assembled
D0007585,S000785,assembled
D0007586,S000741,assembled
D0007587,S000789,assembled
D0007588,S000753,assembled
D0007589,S000734,assembled
D0007590,S000726,assembled
D0007591,S000794,assembled
D0007592,S000709,assembled
D0007593,S000715,assembled
D0007594,S000749,assembled
D0007595,S000708,assembled
D0007596,S000781,assembled
D0007597,S000791,assembled
D0007598,S000716,assembled
D0007599,S000742,assembled
D0007600,S000703,assembled
D0007601,S000793,assembled
D0007602,S000716,assembled
D0007603,S000752,assembled
D0007604,S000707,assembled
D0007605,S000750,assembled
D0007606,S000755,assembled
D0007607,S000780,assembled
D0007608,S000728,assembled
D0007609,S000761,assembled
D0007610,S000731,assembled
D0007611,S000700,assembled
D0007612,S000727,assembled
D0007613,S000793,assembled
D0007614,S000761,assembled
D0007615,S000784,assembled
D0007616,S000747,assembled
D0007617,S000777,assembled
D0007618,S000732,assembled
D0007619,S000775,assembled
D0007620,S000742,assembled
D0007621,S000725,assembled
D0007622,S000700,assembled
D0007623,S000785,assembled
D0007624,S000723,assembled
D0007625,S000757,assembled
D0007626,S000730,assembled
D0007627,S000754,assembled
D0007628,S000749,assembled
D0007629,S000757,assembled
D0007630,S000737,assembled
D0007631,S000709,assembled
D0007632,S000778,assembled
D0007633,S000750,assembled
D0007634,S000756,assembled
D0007635,S000760,assembled
D0007636,S000777,assembled
D0007637,S000711,assembled
D0007638,S000753,assembled
D0007639,S000721,assembled
D0007640,S000745,assembled
D0007641,S000711,assembled
D0007642,S000788,assembled
D0007643,S000776,assembled
D0007644,S000722,assembled
D0007645,S000710,assembled
D0007646,S000757,assembled
D0007647,S000779,assembled
D0007648,S000704,assembled
D0007649,S000710,assembled
D0007650,S000745,assembled
D0007651,S000794,assembled
D0007652,S000703,assembled
D0007653,,screen_rejected
D0007654,S000710,assembled
D0007655,S000746,assembled
D0007656,S000766,assembled
D0007657,S000714,assembled
D0007658,S000710,assembled
D0007659,S000770,assembled
D0007660,S000748,assembled
D0007661,S000781,assembled
D0007662,S000741,assembled
D0007663,S000795,assembled
D0007664,S000776,assembled
D0007665,S000792,assembled
D0007666,S000750,assembled
D0007667,S000766,assembled
D0007668,S000774,assembled
D0007669,S000731,assembled
D0007670,S000759,assembled
D0007671,S000779,assembled
D0007672,S000720,assembled
D0007673,,screen_rejected
D0007674,S000735,assembled
D0007675,S000739,assembled
D0007676,S000770,assembled
D0007677,S000754,assembled
D0007678,S000762,assembled
D0007679,S000785,assembled
D0007680,S000728,assembled
D0007681,S000763,assembled
D0007682,S000705,assembled
D0007683,S000730,assembled
D0007684,S000725,assembled
D0007685,S000776,assembled
D0007686,S000765,assembled
D0007687,S000739,assembled
D0007688,S000737,assembled
D0007689,S000728,assembled
D0007690,S000751,assembled
D0007691,S000760,assembled
D0007692,S000793,assembled
D0007693,S000781,assembled
D0007694,S000755,assembled
D0007695,S000712,assembled
D0007696,S000730,assembled
D0007697,S000752,assembled
D0007698,S000724,assembled
D0007699,S000768,assembled
D0007700,S000774,assembled
D0007701,S000761,assembled
D0007702,S000768,assembled
D0007703,S000733,assembled
D0007704,S000747,assembled
D0007705,S000753,assembled
D0007706,S000792,assembled
D0007707,S000785,assembled
D0007708,S000723,assembled
D0007709,S000754,assembled
D0007710,S000732,assembled
D0007711,S000792,assembled
D0007712,S000723,assembled
D0007713,S000773,assembled
D0007714,S000767,assembled
D0007715,S000732,assembled
D0007716,S000752,assembled
D0007717,S000764,assembled
D0007718,S000781,assembled
D0007719,S000792,assembled
D0007720,S000767,assembled
D0007721,S000783,assembled
D0007722,S000790,assembled
D0007723,S000743,assembled
D0007724,S000754,assembled
D0007725,S000743,assembled
D0007726,S000787,assembled
D0007727,S000780,assembled
D0007728,S000750,assembled
D0007729,S000714,assembled
D0007730,S000788,assembled
D0007731,S000741,assembled
D0007732,S000700,assembled
D0007733,S000743,assembled
D0007734,S000754,assembled
D0007735,,screen_rejected
D0007736,S000751,assembled
D0007737,S000735,assembled
D0007738,S000786,assembled
D0007739,S000714,assembled
D0007740,S000787,assembled
D0007741,S000795,assembled
D0007742,S000749,assembled
D0007743,S000721,assembled
D0007744,S000708,assembled
D0007745,S000707,assembled
D0007746,S000713,assembled
D0007747,S000793,assembled
D0007748,,screen_rejected
D0007749,S000741,assembled
D0007750,S000719,assembled
D0007751,S000785,assembled
D0007752,S000787,assembled
D0007753,,screen_rejected
D0007754,S000740,assembled
D0007755,S000742,assembled
D0007756,S000784,assembled
D0007757,S000780,assembled
D0007758,S000774,assembled
D0007759,,screen_rejected
D0007760,S000767,assembled
D0007761,S000710,assembled
D0007762,S000701,assembled
D0007763,S000751,assembled
D0007764,S000794,assembled
D0007765,S000760,assembled
D0007766,S000740,assembled
D0007767,S000717,assembled
D0007768,S000700,assembled
D0007769,S000773,assembled
D0007770,S000775,assembled
D0007771,S000790,assembled
D0007772,S000705,assembled
D0007773,S000757,assembled
D0007774,S000730,assembled
D0007775,S000727,assembled
D0007776,S000748,assembled
D0007777,S000733,assembled
D0007778,S000758,assembled
D0007779,S000752,assembled
D0007780,S000707,assembled
D0007781,S000769,assembled
D0007782,S000741,assembled
D0007783,S000777,assembled
D0007784,S000729,assembled
D0007785,S000735,assembled
D0007786,S000735,assembled
D0007787,S000753,assembled
D0007788,S000707,assembled
D0007789,S000792,assembled
D0007790,S000762,assembled
D0007791,S000794,assembled
D0007792,S000700,assembled
D0007793,S000773,assembled
D0007794,S000701,assembled
D0007795,,eligible_unassigned
D0007796,S000721,assembled
D0007797,,screen_rejected
D0007798,S000722,assembled
D0007799,S000746,assembled
D0007800,S000786,assembled
D0007801,S000762,assembled
D0007802,S000766,assembled
D0007803,S000707,assembled
D0007804,S000771,assembled
D0007805,S000737,assembled
D0007806,S000734,assembled
D0007807,S000704,assembled
D0007808,S000791,assembled
D0007809,S000784,assembled
D0007810,S000781,assembled
D0007811,S000771,assembled
D0007812,S000753,assembled
D0007813,S000791,assembled
D0007814,S000786,assembled
D0007815,S000777,assembled
D0007816,S000763,assembled
D0007817,S000791,assembled
D0007818,S000769,assembled
D0007819,S000702,assembled
D0007820,S000756,assembled
D0007821,S000731,assembled
D0007822,S000714,assembled
D0007823,S000789,assembled
D0007824,S000720,assembled
D0007825,S000729,assembled
D0007826,S000704,assembled
D0007827,S000786,assembled
D0007828,S000724,assembled
D0007829,S000778,assembled
D0007830,S000722,assembled
D0007831,S000747,assembled
D0007832,S000776,assembled
D0007833,S000727,assembled
D0007834,S000775,assembled
D0007835,S000702,assembled
D0007836,S000718,assembled
D0007837,S000760,assembled
D0007838,S000716,assembled
D0007839,S000717,assembled
D0007840,S000785,assembled
D0007841,S000716,assembled
D0007842,S000768,assembled
D0007843,S000748,assembled
D0007844,S000769,assembled
D0007845,S000776,assembled
D0007846,S000762,assembled
D0007847,S000769,assembled
D0007848,S000788,assembled
D0007849,S000743,assembled
D0007850,S000728,assembled
D0007851,S000708,assembled
D0007852,S000720,assembled
D0007853,S000717,assembled
D0007854,S000700,assembled
D0007855,S000757,assembled
D0007856,S000756,assembled
D0007857,S000794,assembled
D0007858,S000705,assembled
D0007859,S000790,assembled
D0007860,S000734,assembled
D0007861,S000760,assembled
D0007862,S000795,assembled
D0007863,S000755,assembled
D0007864,S000707,assembled
D0007865,S000785,assembled
D0007866,S000722,assembled
D0007867,S000741,assembled
D0007868,S000753,assembled
D0007869,S000778,assembled
D0007870,S000709,assembled
D0007871,S000786,assembled
D0007872,S000736,assembled
D0007873,S000724,assembled
D0007874,S000702,assembled
D0007875,S000766,assembled
D0007876,S000758,assembled
D0007877,S000738,assembled
D0007878,S000741,assembled
D0007879,S000735,assembled
D0007880,S000766,assembled
D0007881,S000703,assembled
D0007882,S000723,assembled
D0007883,S000748,assembled
D0007884,S000718,assembled
D0007885,,screen_rejected
D0007886,S000717,assembled
D0007887,S000782,assembled
D0007888,S000740,assembled
D0007889,S000796,assembled
D0007890,S000766,assembled
D0007891,S000793,assembled
D0007892,S000763,assembled
D0007893,S000764,assembled
D0007894,S000722,assembled
D0007895,S000712,assembled
D0007896,S000748,assembled
D0007897,S000746,assembled
D0007898,S000768,assembled
D0007899,S000784,assembled
D0007900,S000739,assembled
D0007901,S000739,assembled
D0007902,S000712,assembled
D0007903,S000785,assembled
D0007904,S000765,assembled
D0007905,S000723,assembled
D0007906,S000730,assembled
D0007907,S000796,assembled
D0007908,S000769,assembled
D0007909,S000770,assembled
D0007910,S000763,assembled
D0007911,S000773,assembled
D0007912,S000745,assembled
D0007913,S000712,assembled
D0007914,S000730,assembled
D0007915,S000729,assembled
D0007916,S000734,assembled
D0007917,S000731,assembled
D0007918,,screen_rejected
D0007919,S000705,assembled
D0007920,S000711,assembled
D0007921,,screen_rejected
D0007922,S000713,assembled
D0007923,S000702,assembled
D0007924,S000708,assembled
D0007925,S000716,assembled
D0007926,S000772,assembled
D0007927,S000786,assembled
D0007928,S000734,assembled
D0007929,S000778,assembled
D0007930,S000764,assembled
D0007931,S000752,assembled
D0007932,S000732,assembled
D0007933,S000770,assembled
D0007934,,screen_rejected
D0007935,S000732,assembled
D0007936,S000767,assembled
D0007937,S000759,assembled
D0007938,S000772,assembled
D0007939,S000738,assembled
D0007940,S000720,assembled
D0007941,S000740,assembled
D0007942,S000772,assembled
D0007943,S000727,assembled
D0007944,S000739,assembled
D0007945,S000758,assembled
D0007946,S000742,assembled
D0007947,S000779,assembled
D0007948,,screen_rejected
D0007949,S000744,assembled
D0007950,,screen_rejected
D0007951,S000792,assembled
D0007952,S000704,assembled
D0007953,S000773,assembled
D0007954,S000733,assembled
D0007955,S000734,assembled
D0007956,S000780,assembled
D0007957,S000705,assembled
D0007958,S000765,assembled
D0007959,S000778,assembled
D0007960,S000706,assembled
D0007961,S000786,assembled
D0007962,S000747,assembled
D0007963,S000731,assembled
D0007964,S000756,assembled
D0007965,S000719,assembled
D0007966,S000769,assembled
D0007967,S000723,assembled
D0007968,S000744,assembled
D0007969,S000780,assembled
D0007970,S000739,assembled
D0007971,S000706,assembled
D0007972,S000724,assembled
D0007973,S000743,assembled
D0007974,S000709,assembled
D0007975,S000787,assembled
D0007976,S000754,assembled
D0007977,S000735,assembled
D0007978,S000796,assembled
D0007979,S000708,assembled
D0007980,S000768,assembled
D0007981,S000755,assembled
D0007982,S000721,assembled
D0007983,S000710,assembled
D0007984,S000771,assembled
D0007985,S000740,assembled
D0007986,S000701,assembled
D0007987,S000736,assembled
D0007988,S000724,assembled
D0007989,S000708,assembled
D0007990,,screen_rejected
D0007991,S000745,assembled
D0007992,S000778,assembled
D0007993,S000742,assembled
D0007994,S000745,assembled
D0007995,S000782,assembled
D0007996,S000773,assembled
D0007997,S000749,assembled
D0007998,S000726,assembled
D0007999,S000701,assembled
D0008000,S000790,assembled
D0008001,S000859,assembled
D0008002,S000810,assembled
D0008003,S000829,assembled
D0008004,S000829,assembled
D0008005,S000853,assembled
D0008006,,screen_rejected
D0008007,S000856,assembled
D0008008,S000813,assembled
D0008009,S000808,assembled
D0008010,S000808,assembled
D0008011,S000798,assembled
D0008012,S000836,assembled
D0008013,S000852,assembled
D0008014,S000823,assembled
D0008015,S000828,assembled
D0008016,S000822,assembled
D0008017,S000837,assembled
D0008018,S000803,assembled
D0008019,S000848,assembled
D0008020,S000824,assembled
D0008021,S000856,assembled
D0008022,S000857,assembled
D0008023,S000798,assembled
D0008024,,screen_rejected
D0008025,S000825,assembled
D0008026,S000815,assembled
D0008027,S000852,assembled
D0008028,S000850,assembled
D0008029,S000849,assembled
D0008030,S000839,assembled
D0008031,S000829,assembled
D0008032,S000814,assembled
D0008033,S000835,assembled
D0008034,S000814,assembled
D0008035,S000839,assembled
D0008036,S000849,assembled
D0008037,S000842,assembled
D0008038,S000826,assembled
D0008039,,screen_rejected
D0008040,S000818,assembled
D0008041,S000832,assembled
D0008042,S000820,assembled
D0008043,S000834,assembled
D0008044,S000840,assembled
D0008045,S000818,assembled
D0008046,S000799,assembled
D0008047,S000845,assembled
D0008048,S000802,assembled
D0008049,S000800,assembled
D0008050,S000801,assembled
D0008051,S000832,assembled
D0008052,S000845,assembled
D0008053,S000805,assembled
D0008054,S000816,assembled
D0008055,S000816,assembled
D0008056,S000799,assembled
D0008057,S000815,assembled
D0008058,S000831,assembled
D0008059,S000809,assembled
D0008060,S000844,assembled
D0008061,,screen_rejected
D0008062,S000825,assembled
D0008063,S000857,assembled
D0008064,S000800,assembled
D0008065,S000811,assembled
D0008066,S000825,assembled
D0008067,S000833,assembled
D0008068,S000809,assembled
D0008069,,screen_rejected
D0008070,S000825,assembled
D0008071,S000811,assembled
D0008072,S000846,assembled
D0008073,S000811,assembled
D0008074,S000801,assembled
D0008075,S000812,assembled
D0008076,S000836,assembled
D0008077,S000817,assembled
D0008078,S000835,assembled
D0008079,S000853,assembled
D0008080,S000852,assembled
D0008081,S000833,assembled
D0008082,S000806,assembled
D0008083,S000801,assembled
D0008084,S000807,assembled
D0008085,S000856,assembled
D0008086,S000814,assembled
D0008087,S000807,assembled
D0008088,S000797,assembled
D0008089,S000833,assembled
D0008090,S000814,assembled
D0008091,S000859,assembled
D0008092,S000806,assembled
D0008093,S000837,assembled
D0008094,S000845,assembled
D0008095,S000802,assembled
D0008096,S000856,assembled
D0008097,S000815,assembled
D0008098,S000816,assembled
D0008099,S000837,assembled
D0008100,S000828,assembled
D0008101,S000848,assembled
D0008102,S000828,assembled
D0008103,S000858,assembled
D0008104,S000846,assembled
D0008105,S000802,assembled
D0008106,S000814,assembled
D0008107,S000802,assembled
D0008108,S000843,assembled
D0008109,S000834,assembled
D0008110,S000848,assembled
D0008111,S000851,assembled
D0008112,S000819,assembled
D0008113,S000836,assembled
D0008114,S000800,assembled
D0008115,S000842,assembled
D0008116,S000850,assembled
D0008117,S000825,assembled
D0008118,S000801,assembled
D0008119,S000803,assembled
D0008120,S000857,assembled
D0008121,S000844,assembled
D0008122,S000819,assembled
D0008123,S000806,assembled
D0008124,S000854,assembled
D0008125,S000841,assembled
D0008126,S000815,assembled
D0008127,S000847,assembled
D0008128,S000849,assembled
D0008129,S000834,assembled
D0008130,S000828,assembled
D0008131,S000813,assembled
D0008132,S000851,assembled
D0008133,S000798,assembled
D0008134,S000853,assembled
D0008135,S000847,assembled
D0008136,S000820,assembled
D0008137,S000843,assembled
D0008138,S000824,assembled
D0008139,S000830,assembled
D0008140,S000829,assembled
D0008141,S000803,assembled
D0008142,S000807,assembled
D0008143,S000858,assembled
D0008144,S000818,assembled
D0008145,S000858,assembled
D0008146,S000814,assembled
D0008147,S000804,assembled
D0008148,S000852,assembled
D0008149,S000821,assembled
D0008150,S000846,assembled
D0008151,S000845,assembled
D0008152,S000846,assembled
D0008153,S000856,assembled
D0008154,S000854,assembled
D0008155,S000819,assembled
D0008156,S000851,assembled
D0008157,S000839,assembled
D0008158,S000807,assembled
D0008159,S000839,assembled
D0008160,S000846,assembled
D0008161,S000851,assembled
D0008162,S000831,assembled
D0008163,S000855,assembled
D0008164,,screen_rejected
D0008165,S000832,assembled
D0008166,S000813,assembled
D0008167,S000848,assembled
D0008168,S000846,assembled
D0008169,S000804,assembled
D0008170,S000831,assembled
D0008171,S000809,assembled
D0008172,S000849,assembled
D0008173,,screen_rejected
D0008174,S000833,assembled
D0008175,S000844,assembled
D0008176,S000802,assembled
D0008177,S000824,assembled
D0008178,S000799,assembled
D0008179,S000841,assembled
D0008180,S000849,assembled
D0008181,S000839,assembled
D0008182,S000820,assembled
D0008183,S000806,assembled
D0008184,S000809,assembled
D0008185,S000801,assembled
D0008186,,screen_rejected
D0008187,S000841,assembled
D0008188,S000829,assembled
D0008189,S000820,assembled
D0008190,S000806,assembled
D0008191,S000820,assembled
D0008192,S000824,assembled
D0008193,S000836,assembled
D0008194,S000809,assembled
D0008195,S000814,assembled
D0008196,S000805,assembled
D0008197,S000823,assembled
D0008198,S000800,assembled
D0008199,S000835,assembled
D0008200,S000802,assembled
D0008201,S000855,assembled
D0008202,,screen_rejected
D0008203,S000813,assembled
D0008204,S000833,assembled
D0008205,S000797,assembled
D0008206,S000819,assembled
D0008207,S000830,assembled
D0008208,S000811,assembled
D0008209,S000857,assembled
D0008210,S000811,assembled
D0008211,S000848,assembled
D0008212,S000800,assembled
D0008213,S000842,assembled
D0008214,S000821,assembled
D0008215,S000834,assembled
D0008216,S000841,assembled
D0008217,S000839,assembled
D0008218,S000823,assembled
D0008219,S000845,assembled
D0008220,S000825,assembled
D0008221,S000851,assembled
D0008222,S000820,assembled
D0008223,S000843,assembled
D0008224,S000857,assembled
D0008225,S000833,assembled
D0008226,S000838,assembled
D0008227,,screen_rejected
D0008228,S000826,assembled
D0008229,S000819,assembled
D0008230,S000833,assembled
D0008231,,screen_rejected
D0008232,S000840,assembled
D0008233,S000805,assembled
D0008234,S000799,assembled
D0008235,S000802,assembled
D0008236,S000833,assembled
D0008237,S000827,assembled
D0008238,S000824,assembled
D0008239,S000828,assembled
D0008240,S000804,assembled
D0008241,S000801,assembled
D0008242,S000819,assembled
D0008243,S000812,assembled
D0008244,S000798,assembled
D0008245,S000856,assembled
D0008246,S000828,assembled
D0008247,S000822,assembled
D0008248,,screen_rejected
D0008249,S000852,assembled
D0008250,S000842,assembled
D0008251,S000847,assembled
D0008252,S000826,assembled
D0008253,S000808,assembled
D0008254,S000855,assembled
D0008255,S000802,assembled
D0008256,S000851,assembled
D0008257,S000818,assembled
D0008258,S000808,assembled
D0008259,,screen_rejected
D0008260,S000830,assembled
D0008261,S000855,assembled
D0008262,S000827,assembled
D0008263,S000856,assembled
D0008264,S000797,assembled
D0008265,S000814,assembled
D0008266,S000843,assembled
D0008267,S000801,assembled
D0008268,S000817,assembled
D0008269,S000797,assembled
D0008270,S000841,assembled
D0008271,S000803,assembled
D0008272,S000840,assembled
D0008273,S000803,assembled
D0008274,,eligible_unassigned
D0008275,S000830,assembled
D0008276,S000842,assembled
D0008277,S000820,assembled
D0008278,S000859,assembled
D0008279,S000798,assembled
D0008280,S000843,assembled
D0008281,S000807,assembled
D0008282,S000835,assembled
D0008283,S000801,assembled
D0008284,S000832,assembled
D0008285,S000859,assembled
D0008286,S000852,assembled
D0008287,S000836,assembled
D0008288,,screen_rejected
D0008289,S000823,assembled
D0008290,S000823,assembled
D0008291,S000835,assembled
D0008292,S000836,assembled
D0008293,S000826,assembled
D0008294,S000799,assembled
D0008295,S000826,assembled
D0008296,S000819,assembled
D0008297,S000825,assembled
D0008298,S000852,assembled
D0008299,,screen_rejected
D0008300,S000816,assembled
D0008301,S000812,assembled
D0008302,S000853,assembled
D0008303,S000825,assembled
D0008304,S000813,assembled
D0008305,S000814,assembled
D0008306,S000838,assembled
D0008307,,screen_rejected
D0008308,S000835,assembled
D0008309,S000844,assembled
D0008310,S000799,assembled
D0008311,S000805,assembled
D0008312,S000804,assembled
D0008313,S000834,assembled
D0008314,S000818,assembled
D0008315,S000855,assembled
D0008316,S000835,assembled
D0008317,S000823,assembled
D0008318,S000851,assembled
D0008319,S000827,assembled
D0008320,S000852,assembled
D0008321,,screen_rejected
D0008322,S000816,assembled
D0008323,S000854,assembled
D0008324,S000821,assembled
D0008325,S000831,assembled
D0008326,S000813,assembled
D0008327,S000833,assembled
D0008328,S000845,assembled
D0008329,S000822,assembled
D0008330,,screen_rejected
D0008331,S000829,assembled
D0008332,S000828,assembled
D0008333,S000804,assembled
D0008334,S000841,assembled
D0008335,S000810,assembled
D0008336,S000819,assembled
D0008337,S000800,assembled
D0008338,S000842,assembled
D0008339,S000829,assembled
D0008340,S000839,assembled
D0008341,S000842,assembled
D0008342,,screen_rejected
D0008343,S000816,assembled
D0008344,S000846,assembled
D0008345,S000814,assembled
D0008346,S000844,assembled
D0008347,S000811,assembled
D0008348,S000814,assembled
D0008349,S000820,assembled
D0008350,,screen_rejected
D0008351,S000837,assembled
D0008352,S000827,assembled
D0008353,S000840,assembled
D0008354,S000822,assembled
D0008355,S000838,assembled
D0008356,S000855,assembled
D0008357,S000808,assembled
D0008358,S000805,assembled
D0008359,S000799,assembled
D0008360,S000827,assembled
D0008361,S000817,assembled
D0008362,S000837,assembled
D0008363,,screen_rejected
D0008364,S000845,assembled
D0008365,S000804,assembled
D0008366,S000842,assembled
D0008367,S000824,assembled
D0008368,S000851,assembled
D0008369,S000849,assembled
D0008370,S000813,assembled
D0008371,S000806,assembled
D0008372,S000830,assembled
D0008373,,screen_rejected
D0008374,S000803,assembled
D0008375,S000829,assembled
D0008376,S000799,assembled
D0008377,S000841,assembled
D0008378,S000799,assembled
D0008379,S000854,assembled
D0008380,S000856,assembled
D0008381,S000838,assembled
D0008382,S000842,assembled
D0008383,S000831,assembled
D0008384,S000858,assembled
D0008385,S000850,assembled
D0008386,S000838,assembled
D0008387,S000825,assembled
D0008388,S000804,assembled
D0008389,S000836,assembled
D0008390,S000836,assembled
D0008391,S000858,assembled
D0008392,S000827,assembled
D0008393,S000797,assembled
D0008394,S000800,assembled
D0008395,S000820,assembled
D0008396,S000823,assembled
D0008397,S000829,assembled
D0008398,S000800,assembled
D0008399,S000848,assembled
D0008400,S000810,assembled
D0008401,S000818,assembled
D0008402,S000822,assembled
D0008403,S000851,assembled
D0008404,S000803,assembled
D0008405,S000846,assembled
D0008406,S000806,assembled
D0008407,S000824,assembled
D0008408,S000803,assembled
D0008409,S000853,assembled
D0008410,S000797,assembled
D0008411,S000858,assembled
D0008412,S000804,assembled
D0008413,S000827,assembled
D0008414,S000848,assembled
D0008415,S000853,assembled
D0008416,S000809,assembled
D0008417,S000805,assembled
D0008418,S000843,assembled
D0008419,S000848,assembled
D0008420,S000798,assembled
D0008421,S000822,assembled
D0008422,S000823,assembled
D0008423,S000857,assembled
D0008424,S000846,assembled
D0008425,S000802,assembled
D0008426,S000805,assembled
D0008427,S000808,assembled
D0008428,S000840,assembled
D0008429,,screen_rejected
D0008430,S000829,assembled
D0008431,S000841,assembled
D0008432,S000858,assembled
D0008433,S000804,assembled
D0008434,S000843,assembled
D0008435,S000808,assembled
D0008436,S000854,assembled
D0008437,S000847,assembled
D0008438,S000830,assembled
D0008439,S000858,assembled
D0008440,S000857,assembled
D0008441,S000816,assembled
D0008442,S000826,assembled
D0008443,S000802,assembled
D0008444,S000818,assembled
D0008445,S000845,assembled
D0008446,S000828,assembled
D0008447,S000828,assembled
D0008448,S000847,assembled
D0008449,S000850,assembled
D0008450,S000824,assembled
D0008451,S000803,assembled
D0008452,S000819,assembled
D0008453,S000827,assembled
D0008454,S000855,assembled
D0008455,S000815,assembled
D0008456,S000849,assembled
